Hour,Inverted Slack Power Adjustments,Top Line of Stack (P2P trades),Total Load (MWh)
0,0.009637739892272571,0.009637739892272571,0.009637739892272571
1,0.009117860464444969,0.009117860464444969,0.009117860464444969
2,0.008975367951720789,0.008975367951720789,0.008975367951720789
3,0.008969713988863958,0.008969713988863958,0.008969713988863958
4,0.009483552429987389,0.009483552429987389,0.009483552429987389
5,0.011090497457396412,0.011090497457396412,0.011090497457396412
6,0.012898356560322333,0.012898356560322333,0.012898356560322333
7,0.01344368133063227,0.01356968132991208,0.01356968132991208
8,0.012486081016885163,0.013878081006500084,0.013878081006500084
9,0.009561163085148015,0.014157163085148014,0.014157163085148016
10,0.008185665238821095,0.014341665238821095,0.014341665238821095
11,0.007222712617029214,0.014512712617029215,0.014512712617029215
12,0.006787125228825901,0.014221125226557342,0.014221125226557342
13,0.007286832922921163,0.01392883292212248,0.01392883292212248
14,0.00889838605931776,0.014346386059270532,0.014346386059270532
15,0.011773294163149034,0.015505294163149035,0.015505294163149035
16,0.015542879258923859,0.017288879258923858,0.017288879258923858
17,0.018801379853780335,0.018807379853780334,0.018807379853780334
18,0.01979276355483401,0.01979276355483401,0.01979276355483401
19,0.020109908165154983,0.020109908165154983,0.020109908165154983
20,0.019415313741708632,0.019415313741708632,0.019415313741708632
21,0.016473423579301996,0.016473423579301996,0.016473423579301996
22,0.012799863690002935,0.012799863690002935,0.012799863690002935
23,0.010723605328605518,0.010723605328605518,0.010723605328605518
